date,service,region,accurate,description
2004-11-03,sqs,us-east-1,1,http://aws.amazon.com/about-aws/whats-new/2004/11/03/introducing-the-amazon-simple-queue-service/ 
2006-03-13,s3,us-east-1,1,"http://aws.amazon.com/about-aws/whats-new/2006/03/13/announcing-amazon-s3---simple-storage-service/
https://web.archive.org/web/20061124021750/http://www.amazon.com/S3-AWS-home-page-Money/b?ie=UTF8&node=16427261"
2006-08-24,ec2,us-east-1,1,http://aws.amazon.com/about-aws/whats-new/2006/08/24/announcing-amazon-elastic-compute-cloud-amazon-ec2---beta/
2007-11-06,s3,eu-west-1,1,http://aws.amazon.com/about-aws/whats-new/2007/11/06/amazon-s3-now-available-in-europe/
2007-12-13,simpledb,us-east-1,1,"http://aws.amazon.com/about-aws/whats-new/2007/12/13/announcing-amazon-simpledb-limited-beta
https://web.archive.org/web/20071216150414/http://www.amazon.com/b?ie=UTF8&node=393699011&me=A36L942TSJ2AJA#sdb10"
2008-08-20,ebs,us-east-1,1,"http://aws.amazon.com/about-aws/whats-new/2008/08/20/amazon-elastic-block-store-now-available/
https://web.archive.org/web/20081004222031/http://aws.amazon.com/ebs/ shows no beta, so assume ga at this time"
2008-12-10,ec2,eu-west-1,1,http://aws.amazon.com/about-aws/whats-new/2008/12/10/amazon-ec2-crosses-the-atlantic/
2008-12-10,ebs,eu-west-1,1,"https://forums.aws.amazon.com/ann.jspa?annID=379 although that's dated day before, but officially eu-west-1 announced 2008-12-10 so use that instead (assume forum post premature or timestamping issues)."
2009-04-02,emr,us-east-1,1,"http://aws.amazon.com/about-aws/whats-new/2009/04/02/announcing-amazon-elastic-mapreduce/
https://web.archive.org/web/20090403074643/http://aws.amazon.com/elasticmapreduce/"
2009-04-09,sqs,eu-west-1,1,http://aws.amazon.com/about-aws/whats-new/2009/04/09/announcing-amazon-sqs-wsdl-version-2009-02-01-and-amazon-sqs-in-europe/
2009-04-17,cloudwatch,us-east-1,1,"http://aws.amazon.com/about-aws/whats-new/2009/04/15/amazon-ec2-reserved-instances-now-available-in-europe/
https://web.archive.org/web/20090520151437/http://aws.amazon.com/cloudwatch/"
2009-05-07,autoscaling,us-east-1,1,http://aws.amazon.com/about-aws/whats-new/2009/05/17/monitoring-auto-scaling-elastic-load-balancing/ 
2009-05-17,elb,us-east-1,1,http://aws.amazon.com/about-aws/whats-new/2009/05/17/monitoring-auto-scaling-elastic-load-balancing/
2009-05-20,import-export,us-east-1,1,"http://aws.amazon.com/about-aws/whats-new/2009/05/20/AWS-Import-Export/
https://web.archive.org/web/20090523210131/http://aws.amazon.com/importexport"
2009-07-08,emr,eu-west-1,1,http://aws.amazon.com/about-aws/whats-new/2009/07/08/amazon-elastic-mapreduce-now-available-in-the-eu-region/
2009-08-26,vpc,us-east-1,1,"http://aws.amazon.com/about-aws/whats-new/2009/08/26/introducing-amazon-virtual-private-cloud/
https://web.archive.org/web/20090828045347/http://aws.amazon.com/vpc/ from 2009-08-28 mentions limited beta, but does not discuss about region limitations, but http://aws.amazon.com/about-aws/whats-new/2010/05/04/announcing-amazon-vpc-in-the-eu-region/ specifically mentions availability in eu-west-1 so assuming us-east-1 only at this point."
2009-09-22,simpledb,eu-west-1,1,http://aws.amazon.com/about-aws/whats-new/2009/09/22/announcing-amazon-simpledb-in-the-eu-region/
2009-09-22,cloudwatch,eu-west-1,1,http://aws.amazon.com/about-aws/whats-new/2009/09/22/monitoring-auto-scaling-and-elastic-load-balancing-for-amazon-ec2-now-available-in-the-eu-region/
2009-09-22,elb,eu-west-1,1,http://aws.amazon.com/about-aws/whats-new/2009/09/22/monitoring-auto-scaling-and-elastic-load-balancing-for-amazon-ec2-now-available-in-the-eu-region/
2009-09-22,autoscaling,eu-west-1,1,http://aws.amazon.com/about-aws/whats-new/2009/09/22/monitoring-auto-scaling-and-elastic-load-balancing-for-amazon-ec2-now-available-in-the-eu-region/ 
2009-10-27,rds,us-east-1,1,"http://aws.amazon.com/about-aws/whats-new/2009/10/27/introducing-amazon-relational-database-service/
https://web.archive.org/web/20091223034156/http://aws.amazon.com/rds/ shows only us-east-1."
2009-12-03,ec2,us-west-1,1,http://aws.amazon.com/about-aws/whats-new/2009/12/03/aws-launches-the-northern-california-region/
2009-12-03,s3,us-west-1,1,http://aws.amazon.com/about-aws/whats-new/2009/12/03/aws-launches-the-northern-california-region/
2009-12-03,simpledb,us-west-1,1,http://aws.amazon.com/about-aws/whats-new/2009/12/03/aws-launches-the-northern-california-region/
2009-12-03,sqs,us-west-1,1,http://aws.amazon.com/about-aws/whats-new/2009/12/03/aws-launches-the-northern-california-region/
2009-12-03,emr,us-west-1,1,http://aws.amazon.com/about-aws/whats-new/2009/12/03/aws-launches-the-northern-california-region/
2009-12-03,cloudwatch,us-west-1,0,"http://aws.amazon.com/about-aws/whats-new/2009/12/03/aws-launches-the-northern-california-region/ does not talk about ELB or cloudwatch. Neither does product page from that time (https://web.archive.org/web/20091214073733/http://aws.amazon.com/ec2/https://web.archive.org/web/20100129181926/http://aws.amazon.com/elasticloadbalancing) or), ELB page (https://web.archive.org/web/20100129181926/http://aws.amazon.com/elasticloadbalancing) or cloudwatch page (https://web.archive.org/web/20100221113631/http://aws.amazon.com/cloudwatch/). The first global infrastructure data (2011-11-12) already shows ELB and cloudwatch in us-west-1. Assuming these were available from launch, but cannot be positively sure."
2009-12-03,elb,us-west-1,0,"http://aws.amazon.com/about-aws/whats-new/2009/12/03/aws-launches-the-northern-california-region/ does not talk about ELB or cloudwatch. Neither does product page from that time (https://web.archive.org/web/20091214073733/http://aws.amazon.com/ec2/https://web.archive.org/web/20100129181926/http://aws.amazon.com/elasticloadbalancing) or), ELB page (https://web.archive.org/web/20100129181926/http://aws.amazon.com/elasticloadbalancing) or cloudwatch page (https://web.archive.org/web/20100221113631/http://aws.amazon.com/cloudwatch/). The first global infrastructure data (2011-11-12) already shows ELB and cloudwatch in us-west-1. Assuming these were available from launch, but cannot be positively sure."
2009-12-03,ebs,us-west-1,1,https://forums.aws.amazon.com/ann.jspa?annID=537
2009-12-03,autoscaling,us-west-1,0,"Can't find any reference to auto scaling in us-west-1, but it appears more or less standard from eu-west-1 introduction and no separate announcements are found for a In other region announcemnets auto scaling is mostly mentioned ny other regions."
2009-12-09,import-export,eu-west-1,1,http://aws.amazon.com/about-aws/whats-new/2009/12/09/aws-importexport-announces-international-support/ 
2010-04-07,sns,eu-west-1,1,"http://aws.amazon.com/about-aws/whats-new/2010/04/07/announcing-amazon-simple-notification-service/
https://web.archive.org/web/20100409151953/http://aws.amazon.com/sns/ mentions data transfer between regions, so taken to imply support for all (current) regions (2010-04-09)"
2010-04-07,sns,us-east-1,1,"http://aws.amazon.com/about-aws/whats-new/2010/04/07/announcing-amazon-simple-notification-service/
https://web.archive.org/web/20100409151953/http://aws.amazon.com/sns/ mentions data transfer between regions, so taken to imply support for all (current) regions (2010-04-09)"
2010-04-07,sns,us-west-1,1,"http://aws.amazon.com/about-aws/whats-new/2010/04/07/announcing-amazon-simple-notification-service/
https://web.archive.org/web/20100409151953/http://aws.amazon.com/sns/ mentions data transfer between regions, so taken to imply support for all (current) regions (2010-04-09)"
2010-04-13,rds,eu-west-1,1,http://aws.amazon.com/about-aws/whats-new/2010/04/13/announcing-amazon-relational-database-service-rds-in-the-eu-region/
